28.12.2017,22.12.2017,432.0 ,,430.3,млрд USD
21.12.2017,15.12.2017,430.3 ,,429.3,млрд USD
14.12.2017,08.12.2017,429.3 ,,430.6,млрд USD
07.12.2017,01.12.2017,430.6 ,,430.2,млрд USD
30.11.2017,24.11.2017,430.2 ,,427.6,млрд RUR
23.11.2017,17.11.2017,427.6 ,,426.4,млрд USD
16.11.2017,10.11.2017,426.4 ,,426.3,млрд USD
10.11.2017,03.11.2017,426.3 ,,425.5,млрд USD
03.11.2017,27.10.2017,425.5 ,,425.6,млрд USD
26.10.2017,20.10.2017,425.6 ,,427.0,млрд USD
19.10.2017,13.10.2017,427.0 ,,423.3,млрд USD
12.10.2017,06.10.2017,423.3 ,,424.0,млрд USD
05.10.2017,29.09.2017,424.0 ,,427.1,млрд USD
28.09.2017,22.09.2017,427.1 ,,427.6,млрд USD
21.09.2017,15.09.2017,427.6 ,,427.3,млрд USD
14.09.2017,08.09.2017,427.3 ,,423.1,млрд USD
07.09.2017,01.09.2017,423.1 ,,420.5,млрд USD
31.08.2017,25.08.2017,420.5 ,,419.9,млрд USD
24.08.2017,18.08.2017,419.9 ,,419.9,млрд USD
17.08.2017,11.08.2017,419.9 ,,420.1,млрд USD
10.08.2017,04.08.2017,420.1 ,,418.9,млрд USD
03.08.2017,28.07.2017,418.9 ,,414.7,млрд USD
27.07.2017,21.07.2017,414.7 ,,412.6,млрд USD
20.07.2017,14.07.2017,412.6 ,,410.9,млрд USD
13.07.2017,07.07.2017,410.9 ,,412.2,млрд USD
06.07.2017,30.06.2017,412.2 ,,408.8,млрд USD
29.06.2017,23.06.2017,408.8 ,,406.4,млрд USD
22.06.2017,16.06.2017,406.4 ,,408.3,млрд USD
15.06.2017,09.06.2017,408.3 ,,406.1,млрд USD
01.06.2017,26.05.2017,406.1 ,,405,млрд USD
25.05.2017,19.05.2017,405.0 ,,399.7,млрд USD
18.05.2017,12.05.2017,399.7 ,,398.8,млрд USD
11.05.2017,05.05.2017,398.8 ,,401.1,млрд USD
04.05.2017,28.04.2017,401.1 ,,400,млрд USD
27.04.2017,21.04.2017,400.0 ,,398.4,млрд USD
20.04.2017,14.04.2017,398.4 ,,395.7,млрд USD
13.04.2017,07.04.2017,395.7 ,,397.9,млрд USD
06.04.2017,31.03.2017,397.9 ,,399.0,млрд USD
30.03.2017,24.03.2017,399.0 ,,395.7,млрд USD
23.03.2017,17.03.2017,395.7 ,,393.4,млрд USD
09.03.2017,03.03.2017,393.4 ,,393,млрд USD
02.03.2017,24.02.2017,393 ,,393.5,млрд USD
22.02.2017,17.02.2017,393.5 ,,393.6,млрд USD
16.02.2017,10.02.2017,393.6 ,,394.1,млрд USD
09.02.2017,03.02.2017,394.1 ,,392.5,млрд USD
02.02.2017,27.01.2017,392.5 ,,385.9,млрд USD
26.01.2017,20.01.2017,385.9 ,,385.4,млрд USD
19.01.2017,13.01.2017,385.4 ,,377.7,млрд USD
12.01.2017,06.01.2017,377.7 ,,379.1,млрд USD
29.12.2016,23.12.2016,379.1 ,,379.0,млрд USD
22.12.2016,16.12.2016,379.0 ,,387.0,млрд USD
15.12.2016,09.12.2016,387.0 ,,385.3,млрд USD
08.12.2016,02.12.2016,385.3 ,,385.7,млрд USD
01.12.2016,25.11.2016,385.7 ,,389.4,млрд USD
24.11.2016,18.11.2016,389.4 ,,393.1,млрд USD
17.11.2016,11.11.2016,393.1 ,,395.7,млрд USD
10.11.2016,04.11.2016,395.7 ,,391.0,млрд USD
03.11.2016,28.10.2016,391.0 ,,391.3,млрд USD
27.10.2016,21.10.2016,391.3 ,,391.4,млрд USD
20.10.2016,14.10.2016,391.4 ,,395.4,млрд USD
